File Name,Index Type,Threads,Blocks,I/O Time (s),Build Time (s),CPU Time (s),Elapsed Time (s)
index_build_minmax_threads_1_blocks_1000_0.log,minmax,1,1000,190.71757000000002,325.898,135.18043,326.797
index_build_minmax_threads_1_blocks_1000_1.log,minmax,1,1000,194.14559,330.295,136.14941000000002,331.18
index_build_minmax_threads_1_blocks_1000_2.log,minmax,1,1000,186.86042,320.945,134.08458,321.733
index_build_minmax_threads_1_blocks_1000_3.log,minmax,1,1000,182.88547999999997,318.567,135.68152000000003,319.403
index_build_minmax_threads_1_blocks_1000_4.log,minmax,1,1000,190.33335000000002,327.739,137.40564999999995,328.662
index_build_minmax_threads_2_blocks_1000_0.log,minmax,2,1000,178.55855000000003,247.68,69.12144999999998,248.648
index_build_minmax_threads_2_blocks_1000_1.log,minmax,2,1000,175.38402,244.654,69.26998,245.598
index_build_minmax_threads_2_blocks_1000_2.log,minmax,2,1000,177.35039999999995,246.287,68.93660000000006,247.247
index_build_minmax_threads_2_blocks_1000_3.log,minmax,2,1000,182.01242000000005,250.877,68.86457999999996,251.675
index_build_minmax_threads_2_blocks_1000_4.log,minmax,2,1000,190.23613999999998,259.726,69.48986000000002,260.624
index_build_minmax_threads_4_blocks_1000_0.log,minmax,4,1000,179.40564999999998,215.927,36.52135000000001,216.701
index_build_minmax_threads_4_blocks_1000_1.log,minmax,4,1000,180.31959000000003,216.786,36.46640999999997,217.702
index_build_minmax_threads_4_blocks_1000_2.log,minmax,4,1000,185.66990999999996,222.302,36.632090000000034,223.104
index_build_minmax_threads_4_blocks_1000_3.log,minmax,4,1000,193.81553999999994,229.977,36.16146000000006,230.897
index_build_minmax_threads_4_blocks_1000_4.log,minmax,4,1000,179.65521999999999,215.958,36.30278000000001,216.854
index_build_minmax_threads_8_blocks_1000_0.log,minmax,8,1000,178.00756000000007,198.141,20.133439999999922,199.058
index_build_minmax_threads_8_blocks_1000_1.log,minmax,8,1000,185.49783999999997,205.6,20.102160000000026,206.39
index_build_minmax_threads_8_blocks_1000_2.log,minmax,8,1000,178.22171,197.967,19.74529000000001,198.924
index_build_minmax_threads_8_blocks_1000_3.log,minmax,8,1000,180.81775000000002,200.617,19.799249999999972,201.572
index_build_minmax_threads_8_blocks_1000_4.log,minmax,8,1000,181.57165999999995,201.565,19.993340000000046,202.519
index_build_minmax_threads_16_blocks_1000_0.log,minmax,16,1000,179.77609000000004,191.8,12.023909999999972,192.732
index_build_minmax_threads_16_blocks_1000_1.log,minmax,16,1000,170.89872000000003,183.554,12.655279999999976,184.495
index_build_minmax_threads_16_blocks_1000_2.log,minmax,16,1000,176.19079999999997,188.485,12.294200000000046,189.444
index_build_minmax_threads_16_blocks_1000_3.log,minmax,16,1000,171.08515999999995,183.186,12.100840000000062,184.13
index_build_minmax_threads_16_blocks_1000_4.log,minmax,16,1000,173.99089999999998,186.115,12.124100000000027,187.064
index_build_minmax_threads_32_blocks_1000_0.log,minmax,32,1000,184.49298,195.296,10.803020000000004,196.247
index_build_minmax_threads_32_blocks_1000_1.log,minmax,32,1000,164.10867999999996,174.347,10.238320000000044,175.276
index_build_minmax_threads_32_blocks_1000_2.log,minmax,32,1000,164.10940000000002,174.054,9.94459999999998,175.026
index_build_minmax_threads_32_blocks_1000_3.log,minmax,32,1000,166.56936,176.292,9.722640000000013,177.294
index_build_minmax_threads_32_blocks_1000_4.log,minmax,32,1000,181.75008,192.214,10.463920000000002,193.172
